Deciles,prob,prob,actual,actual,actual
9,0.9999999999999998,0.9997671667001917,12590.0,8.0,12598
8,0.9997671443175722,0.9994991087905079,12597.0,0.0,12597
7,0.9994991019359857,0.9988670805509061,12597.0,0.0,12597
6,0.998867076793119,0.9837973875663025,12597.0,0.0,12597
5,0.983792285316748,0.839171534914712,12276.0,321.0,12597
4,0.8391307393855948,0.0690925205438905,4174.0,8423.0,12597
3,0.06905145455274157,0.0038474286341222876,367.0,12229.0,12596
2,0.0038466917447375045,7.716062224380624e-05,90.0,12508.0,12598
1,7.709906952924816e-05,6.622754755901148e-08,34.0,12562.0,12596
0,6.614982247605755e-08,2.617448563414506e-21,20.0,12579.0,12599
